Logical Processors,Start Time,End Time,Execution Time (ms),Depth,Best Move,New FEN string
12,2024-05-20T19:02:29.1764983,2024-05-20T19:02:39.5131737,10336,6,4162,r1q1kb1r/1QNnpppp/3p4/p1p1n3/8/8/PPPP1PPP/R1B1K1NR b
12,2024-05-20T19:03:13.1047266,2024-05-20T19:03:20.5252067,7420,6,6170,Q1qk1b1r/2Nnpppp/3p4/p1p1n3/8/8/PPPP1PPP/R1B1K1NR b
12,2024-05-20T19:03:42.6193466,2024-05-20T19:03:49.6889782,7069,6,7040,2q2b1r/2knpppp/3p4/Q1p1n3/8/8/PPPP1PPP/R1B1K1NR b
12,2024-05-20T19:04:05.1322038,2024-05-20T19:04:33.6777023,28545,6,0614,2q2b1r/3npppp/2kp4/Q1p1n3/8/8/PPPPNPPP/R1B1K2R b
12,2024-05-20T19:04:58.6393721,2024-05-20T19:05:07.0662673,8426,6,4030,2q2b1r/3npppp/2kp4/2p5/Q1n5/8/PPPPNPPP/R1B1K2R b
12,2024-05-20T19:05:27.0853569,2024-05-20T19:05:41.7114397,14626,6,3063,2q2b1r/3Qpppp/3p4/2pk4/2n5/8/PPPPNPPP/R1B1K2R b
12,2024-05-20T19:07:25.3667088,2024-05-20T19:08:01.0826648,35715,6,1323,5b1r/3qpppp/3p4/2pk4/2n5/3P4/PPP1NPPP/R1B1K2R b
12,2024-05-20T19:08:26.8107549,2024-05-20T19:08:50.4167053,23605,6,1435,5b1r/3qpppp/3p4/2pkn3/5N2/3P4/PPP2PPP/R1B1K2R b
12,2024-05-20T19:09:13.2938131,2024-05-20T19:09:50.969328,37675,6,0224,5b1r/3qpppp/2kp4/2p1n3/5N2/3PB3/PPP2PPP/R3K2R b
12,2024-05-20T19:10:10.9143477,2024-05-20T19:10:41.6298741,30715,6,3514,5b1r/3qpp1p/2kp4/2p1n1p1/8/3PB3/PPP1NPPP/R3K2R b
12,2024-05-24T00:33:27.444633,2024-05-24T00:34:10.0896122,42644,6,1424,5bnr/6k1/2Q2p2/pP4pp/1q1rP3/4KPBB/1PP2P1P/R6R b
12,2024-05-24T00:35:39.213,2024-05-24T00:36:10.2444157,31031,6,5262,5bnr/2Q3k1/5p2/pP4pp/1q1rP3/5PBB/1PP1KP1P/R6R b
